Original Link,Resolved CID
tr.wikipedia-on-ipfs.org/wiki/Ertaş_(Suriye_Selçuklu_meliki),bafkreifa6ord7v5b4avqo64lvoksyshtoqzfp2fjtwfojtemcsvdyk42ma
tr.wikipedia-on-ipfs.org/wiki/Sâhib_Ataoğulları_Beyliği,bafkreiapty6rgiclr6nhhgukqgwgemq27zhgsxanykpmpunwuoap7zewzi
tr.wikipedia-on-ipfs.org/wiki/İran_Geçici_Hükûmeti,bafkreidk3wvj46o6k3p47nn5pekteimo6jmo7m65xsrft5dlihlb6nyhbm
tr.wikipedia-on-ipfs.org/wiki/Ahlatşahlar_Beyliği,bafkreifshpgxp6d2mufvmh6vscshzfqxvedwsgwbdmoylzcatzkjieyxsi
tr.wikipedia-on-ipfs.org/wiki/Danişmendliler_Beyliği,bafkreigxdxwbdplx4j7scs4jopxmbrvf26pxjbfdlg4y6qpev5hdnv6xra
tr.wikipedia-on-ipfs.org/wiki/Memlûk_Sultanlığı,bafkreibu7kkvzstuvpp24kbgc6dndqidrwokwsggfztim4tjani53e4v6a
tr.wikipedia-on-ipfs.org/wiki/İnaloğulları_Beyliği,bafkreihfixtcrxumybdofa62nh73akeqk53zvo6u2sprt3kbpzxzxlkpka
tr.wikipedia-on-ipfs.org/wiki/Kaçar_Hanedanı,bafkreigkottdm4wbm6zdrs77dbyx3q4dcran2lfkysnjq52vywiqoynviq
tr.wikipedia-on-ipfs.org/wiki/İlhanlılar,bafkreidnw4j7fafcwvnquyhxxlt2ta2in35i4x36n3sep6ajpxx6zibmpq
tr.wikipedia-on-ipfs.org/wiki/İkinci_Haçlı_Seferi,bafkreihyhkbxfufkg424lzkuszt6vw7srehnc5lfqkqmgnyobfv7k4k3m4
tr.wikipedia-on-ipfs.org/wiki/Hat_sanatı,bafkreifnqrf6vh3dcfddc5fpuzu65ptsmps3fgsy2nfsykiptr37syvoem
tr.wikipedia-on-ipfs.org/wiki/Selçuk_Bey,bafkreielcqzv67nr4tsol6wd35fn6pjczrj7ppmursnipkgbvikrjiovfu
tr.wikipedia-on-ipfs.org/wiki/İran,bafybeidjzwxmiqyu5g67g4vrj4jy6maixyi2vqrpaoxwqzwp2dvakvjuju
tr.wikipedia-on-ipfs.org/wiki/Büyük_Bulgar_Hanlığı,bafkreied6orh543d2dn2grpmxsb7ralw4futrqmrpvb7ckt2lwdpfl2qy4
tr.wikipedia-on-ipfs.org/wiki/Anadolu_Selçukluları_soyağacı,bafkreidcr4us7h2uhamrmlzufmetjm2bq7zcmldcrfk6bplsu7ylqbzbfy
tr.wikipedia-on-ipfs.org/wiki/Ebü'l-Kâsım,bafkreib66qtghp7moba6zbfs5mffjia4ipvsr6ih43mj4jn5kaagngmbgu
